ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",103750,23952,"Census Tract 10, King County, WA","14000US53033001000"
2017,"2017",0,"Total",78542,16551,"Census Tract 11, King County, WA","14000US53033001100"
2017,"2017",0,"Total",46358,9213,"Census Tract 12, King County, WA","14000US53033001200"
2017,"2017",0,"Total",70764,11468,"Census Tract 13, King County, WA","14000US53033001300"
2017,"2017",0,"Total",71144,14091,"Census Tract 14, King County, WA","14000US53033001400"
2017,"2017",0,"Total",96019,11687,"Census Tract 15, King County, WA","14000US53033001500"
2017,"2017",0,"Total",117250,19088,"Census Tract 16, King County, WA","14000US53033001600"
2017,"2017",0,"Total",69190,5903,"Census Tract 17.01, King County, WA","14000US53033001701"
2017,"2017",0,"Total",69177,6778.000000000001,"Census Tract 17.02, King County, WA","14000US53033001702"
2017,"2017",0,"Total",89260,21064,"Census Tract 18, King County, WA","14000US53033001800"
2017,"2017",0,"Total",75652,8334,"Census Tract 19, King County, WA","14000US53033001900"
2017,"2017",0,"Total",95469,11763,"Census Tract 20, King County, WA","14000US53033002000"
2017,"2017",0,"Total",95515,9875,"Census Tract 21, King County, WA","14000US53033002100"
2017,"2017",0,"Total",144318,37365,"Census Tract 22, King County, WA","14000US53033002200"
2017,"2017",0,"Total",109402,14224.000000000002,"Census Tract 24, King County, WA","14000US53033002400"
2017,"2017",0,"Total",107401,11571,"Census Tract 25, King County, WA","14000US53033002500"
2017,"2017",0,"Total",106193,9548,"Census Tract 26, King County, WA","14000US53033002600"
2017,"2017",0,"Total",121807,10655,"Census Tract 27, King County, WA","14000US53033002700"
2017,"2017",0,"Total",119875,11495,"Census Tract 28, King County, WA","14000US53033002800"
2017,"2017",0,"Total",104375,13911,"Census Tract 29, King County, WA","14000US53033002900"
2017,"2017",0,"Total",100500,17021,"Census Tract 30, King County, WA","14000US53033003000"
2017,"2017",0,"Total",104934,6849,"Census Tract 31, King County, WA","14000US53033003100"
2017,"2017",0,"Total",79141,13650.000000000002,"Census Tract 32, King County, WA","14000US53033003200"
2017,"2017",0,"Total",99547,11423,"Census Tract 33, King County, WA","14000US53033003300"
2017,"2017",0,"Total",102105,14582.000000000002,"Census Tract 34, King County, WA","14000US53033003400"
2017,"2017",0,"Total",90066,15413,"Census Tract 35, King County, WA","14000US53033003500"
2017,"2017",0,"Total",69408,17516,"Census Tract 36, King County, WA","14000US53033003600"
2017,"2017",0,"Total",99722,21252,"Census Tract 38, King County, WA","14000US53033003800"
2017,"2017",0,"Total",109659,27411.999999999996,"Census Tract 39, King County, WA","14000US53033003900"
2017,"2017",0,"Total",76250,6790.000000000001,"Census Tract 40, King County, WA","14000US53033004000"
2017,"2017",0,"Total",168415,16893,"Census Tract 41, King County, WA","14000US53033004100"
2017,"2017",0,"Total",129226,12149,"Census Tract 42, King County, WA","14000US53033004200"
2017,"2017",0,"Total",85357,21089,"Census Tract 43.01, King County, WA","14000US53033004301"
2017,"2017",0,"Total",26886,7290,"Census Tract 43.02, King County, WA","14000US53033004302"
2017,"2017",0,"Total",56725,11198,"Census Tract 44, King County, WA","14000US53033004400"
2017,"2017",0,"Total",108304,13516.999999999998,"Census Tract 45, King County, WA","14000US53033004500"
2017,"2017",0,"Total",125547,21321,"Census Tract 46, King County, WA","14000US53033004600"
2017,"2017",0,"Total",79162,5909,"Census Tract 47, King County, WA","14000US53033004700"
2017,"2017",0,"Total",112328,10897,"Census Tract 48, King County, WA","14000US53033004800"
2017,"2017",0,"Total",77075,5752,"Census Tract 49, King County, WA","14000US53033004900"
2017,"2017",0,"Total",79980,11671,"Census Tract 50, King County, WA","14000US53033005000"
2017,"2017",0,"Total",105580,20000,"Census Tract 51, King County, WA","14000US53033005100"
